LST,NDVI,Population
0.5811052418171365,0.12856798481355303,0.2903267733693105
0.6194438637391526,0.12101816944463778,0.2595379668162096
0.6058877693954181,0.1223655868684692,0.2717466437361127
0.5954965933712839,0.12681535302530164,0.27768805360341453
0.5904900335918082,0.12359268828293946,0.2859172781252523
0.6029387011601286,0.1269448557515969,0.27011644308827454
0.5846519868364201,0.12454750205680795,0.2908005111067721
0.5878200517125173,0.13880222844994222,0.2733777198375405
0.5796833617865376,0.12814538756196733,0.2921712506514952
0.6159754704263876,0.12406164448919814,0.2599628850844144
0.5991971717510672,0.13628474079627045,0.26451808745266225
0.5939950975547038,0.12252828369402728,0.2834766187512689
0.5885279057784643,0.13728378277281603,0.2741883114487197
0.597785067765944,0.1360822771561047,0.26613265507795136
0.6029955513079682,0.13072148680495646,0.2662829618870754
0.5795538691267996,0.1335833409337491,0.2868627899394513
0.6164709153424027,0.12675917285764607,0.25676991179995123
0.6041091111933499,0.13005982361512614,0.265831065191524
0.6268126147595219,0.1276357193565342,0.2455516658839439
0.5924432901782337,0.14168996660888752,0.2658667432128787
0.5949377012624208,0.13089439887096407,0.2741678998666151
0.5780213964639621,0.12797474562066655,0.29400385791537126
0.5991466465343944,0.1349859627737352,0.26586739069187043
0.5959057775884795,0.1419670280617214,0.26212719434979914
0.5968961401242788,0.13425786904813283,0.2688459908275883
0.5913422064178957,0.14477174412481472,0.26388604945728955
0.6009378710394517,0.13483879153509518,0.2642233374254531
0.5962951653006611,0.1349056626297382,0.2687991720696008
0.6135329398055201,0.12588922602463812,0.2605778341698417
0.6160003626910271,0.12575601722759439,0.2582436200813786
0.600824576608506,0.13525849770463835,0.26391692568685576
0.6099962849346111,0.12028944736477586,0.269714267700613
0.5875109044629674,0.13436975527752368,0.27811934025950896
0.6023980935306043,0.1272091287790314,0.2703927776903644
0.5987779200680547,0.1453404973933543,0.2558815825385909
0.5791468348541486,0.13260019482625715,0.2882529703195943
0.5836795390923413,0.137915260564334,0.2784052003433248
0.5959737989810965,0.1260246421192085,0.278001558899695
0.5970768108164586,0.12340368597019666,0.2795195032133448
0.5991296299560391,0.12736993934650237,0.2735004306974585
0.5884222611280729,0.12330389010844316,0.28827384876348394
0.5946610722885393,0.11129591168751259,0.2940430160239481
0.5755057924625443,0.12900091547601347,0.29549329206144226
0.5750376632876095,0.13437982297690923,0.29058251373548133
0.5823596533718975,0.13960642066514883,0.2780339259629536
0.6241386273658172,0.13110974669857225,0.24475162593561067
0.5869113588928512,0.1346495879600359,0.2784390531471129
0.5615827430982667,0.13901658793502747,0.2994006689667059
0.5891789744264877,0.14556556998616774,0.2652554555873446
0.6079055635285987,0.12011380025469867,0.2719806362167026
0.6131555495153413,0.1341039741214313,0.25274047636322733
0.5840060511790267,0.12726835358255104,0.2887255952384222
0.6079718634578004,0.13505927682192692,0.25696885972027256
